# METADATA:
# 000AA: Castels
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000AA;2022-11-15 17:00:00;13.7;1003.5;96;13.1;4.8;;298;0;2.4
000AA;2022-11-15 17:30:00;12.7;1004.2;95;11.9;4.8;;264;;
000AA;2022-11-15 18:00:00;12.4;1004;95;11.7;1.6;;247;7.6;2.6
000AA;2022-11-15 18:30:00;12.1;1004.4;96;11.4;1.6;;170;;
000AA;2022-11-15 19:00:00;11.9;1004.8;96;11.3;1.6;;214;0;0.6
000AA;2022-11-15 19:30:00;11.9;1005;96;11.3;1.6;;207;;
000AA;2022-11-15 20:00:00;11.8;1005.2;96;11.2;1.6;;195;0;0
000AA;2022-11-15 20:30:00;11.7;1005.4;96;11.1;1.6;;201;;
000AA;2022-11-15 21:00:00;11.9;1005.8;97;11.5;3.2;;188;0.6;0
000AA;2022-11-15 21:30:00;12.1;1005.9;96;11.4;3.2;;165;;
000AA;2022-11-15 22:00:00;12.1;1005.9;96;11.4;1.6;;208;0;0
000AA;2022-11-15 22:30:00;11.9;1005.9;96;11.3;1.6;;217;;
000AA;2022-11-15 23:00:00;11.8;1005.8;96;11.2;3.2;;209;0;0
000AA;2022-11-15 23:30:00;11.7;1006;97;11.3;3.2;;207;;
000AA;2022-11-16 00:00:00;11.7;1005.9;96;11.1;1.6;;196;0;0
000AA;2022-11-16 00:30:00;11.7;1005.9;97;11.3;1.6;;171;;
000AA;2022-11-16 01:00:00;11.7;1005.7;97;11.3;1.6;;202;0;0.2
000AA;2022-11-16 01:30:00;11.6;1005.6;96;11;1.6;;204;;
000AA;2022-11-16 02:00:00;11.6;1005.7;97;11.2;3.2;;194;0;0
000AA;2022-11-16 02:30:00;11.7;1004.9;96;11.1;1.6;;149;;
000AA;2022-11-16 03:00:00;11.5;1005;97;11;1.6;;196;0.2;0
000AA;2022-11-16 03:30:00;11.5;1004.8;97;11;1.6;;213;;
000AA;2022-11-16 04:00:00;11.6;1004.9;97;11.1;3.2;;171;0;0
000AA;2022-11-16 04:30:00;11.6;1004.7;97;11.2;1.6;;106;;
000AA;2022-11-16 05:00:00;11.5;1004.4;96;10.9;1.6;;78;0;0
000AA;2022-11-16 05:30:00;11.3;1004.3;97;10.9;1.6;;94;;
000AA;2022-11-16 06:00:00;11.5;1004.4;96;10.9;1.6;;65;0;0
000AA;2022-11-16 06:30:00;11.3;1004.3;96;10.7;1.6;;74;;
000AA;2022-11-16 07:00:00;11.3;1004.3;96;10.7;1.6;;96;0;0
000AA;2022-11-16 07:30:00;11.4;1004.4;96;10.8;1.6;;88;;
000AA;2022-11-16 08:00:00;11.6;1004.5;96;11;1.6;;68;0;0
000AA;2022-11-16 08:30:00;11.9;1004.7;95;11.1;1.6;;90;;
000AA;2022-11-16 09:00:00;12.4;1004.7;94;11.5;1.6;;61;0;0
000AA;2022-11-16 09:30:00;12.9;1004.8;92;11.6;1.6;;180;;
000AA;2022-11-16 10:00:00;13.3;1004.6;90;11.7;1.6;;283;0;0
000AA;2022-11-16 10:30:00;13.9;1004.5;90;12.3;3.2;;244;;
000AA;2022-11-16 11:00:00;15.4;1004;84;12.7;4.8;;182;0;0
000AA;2022-11-16 11:30:00;16.1;1003.5;80;12.6;6.4;;256;;
000AA;2022-11-16 12:00:00;16.6;1003.1;77;12.6;8;;173;0;0
000AA;2022-11-16 12:30:00;16.5;1002.9;75;12.1;6.4;;223;;
000AA;2022-11-16 13:00:00;17.4;1002.2;68;11.5;8;;215;0;0
000AA;2022-11-16 13:30:00;17.6;1001.5;67;11.4;4.8;;234;;
000AA;2022-11-16 14:00:00;17.4;1000.8;66;11;8;;211;0;0
000AA;2022-11-16 14:30:00;17.7;1000;68;11.7;4.8;;65;;
000AA;2022-11-16 15:00:00;17.4;999.9;69;11.7;3.2;;250;0;0
000AA;2022-11-16 15:30:00;16;999.6;74;11.4;3.2;;250;;
000AA;2022-11-16 16:00:00;15.7;999.3;73;10.8;3.2;;209;0;0
000AA;2022-11-16 16:30:00;15.6;999.1;74;10.9;3.2;;223;;
000AA;2022-11-16 17:00:00;15;999.3;77;11;3.2;;39;0;0
